Date,Price,Open,High,Low,Vol.,Change %
06/29/2021,"1,275.94","1,274.13","1,280.63","1,273.53",162.59M,0.23%
06/28/2021,"1,273.06","1,280.25","1,283.56","1,272.46",180.42M,-0.77%
06/25/2021,"1,282.90","1,285.42","1,285.79","1,279.29",162.15M,-0.01%
06/24/2021,"1,283.01","1,273.95","1,284.36","1,272.63",185.79M,1.12%
06/23/2021,"1,268.85","1,281.23","1,281.50","1,268.80",237.49M,-0.73%
06/22/2021,"1,278.21","1,276.13","1,280.23","1,270.74",182.77M,0.23%
06/21/2021,"1,275.30","1,260.74","1,275.86","1,257.87",202.92M,0.54%
06/18/2021,"1,268.39","1,288.83","1,292.71","1,267.37",413.00M,-1.77%
06/17/2021,"1,291.31","1,283.63","1,292.13","1,282.73",189.92M,0.18%
06/16/2021,"1,289.02","1,287.68","1,290.46","1,285.67",172.31M,0.34%
06/15/2021,"1,284.71","1,288.72","1,289.15","1,284.66",165.14M,0.11%
06/14/2021,"1,283.31","1,285.08","1,289.92","1,280.60",171.46M,0.28%
06/11/2021,"1,279.72","1,273.31","1,280.78","1,272.85",164.03M,0.70%
06/10/2021,"1,270.86","1,273.80","1,274.07","1,265.92",185.26M,-0.07%
06/09/2021,"1,271.73","1,270.38","1,272.95","1,267.14",166.78M,0.26%
06/08/2021,"1,268.46","1,267.54","1,273.94","1,266.96",207.70M,0.13%
06/07/2021,"1,266.80","1,260.70","1,269.09","1,256.57",139.40M,0.32%
06/04/2021,"1,262.79","1,260.16","1,263.26","1,257.32",149.20M,0.29%
06/03/2021,"1,259.13","1,263.39","1,263.39","1,252.62",133.74M,-0.36%
06/02/2021,"1,263.62","1,258.49","1,263.71","1,258.24",148.46M,0.40%
06/01/2021,"1,258.58","1,254.61","1,265.66","1,254.61",155.18M,0.77%
05/31/2021,"1,248.93","1,256.08","1,258.88","1,248.14",91.17M,-0.61%
05/28/2021,"1,256.60","1,249.47","1,259.21","1,249.03",160.77M,0.76%
05/27/2021,"1,247.07","1,241.12","1,251.91","1,241.12",379.70M,0.29%
05/26/2021,"1,243.42","1,247.12","1,248.64","1,241.20",161.20M,-0.03%
05/25/2021,"1,243.74","1,247.65","1,249.34","1,243.67",150.20M,-0.01%
05/24/2021,"1,243.90","1,240.65","1,244.01","1,238.46",85.21M,0.40%
05/21/2021,"1,238.92","1,234.92","1,242.76","1,232.29",182.67M,0.54%
05/20/2021,"1,232.28","1,221.78","1,232.32","1,216.30",157.21M,1.40%
05/19/2021,"1,215.27","1,221.42","1,223.38","1,202.78",217.22M,-1.50%
05/18/2021,"1,233.80","1,242.60","1,244.24","1,232.60",175.99M,-0.07%
05/17/2021,"1,234.69","1,241.10","1,242.67","1,231.63",159.64M,-0.26%
05/14/2021,"1,237.89","1,229.81","1,237.94","1,222.03",181.43M,1.43%
05/13/2021,"1,220.46","1,205.85","1,223.61","1,195.64",176.33M,0.03%
05/12/2021,"1,220.08","1,219.91","1,224.56","1,214.06",222.63M,0.03%
05/11/2021,"1,219.76","1,227.84","1,229.51","1,211.23",236.61M,-1.92%
05/10/2021,"1,243.63","1,249.78","1,249.78","1,240.98",189.46M,-0.36%
05/07/2021,"1,248.14","1,246.81","1,248.20","1,239.03",192.11M,0.65%
05/06/2021,"1,240.10","1,240.68","1,244.99","1,233.61",205.46M,0.10%
05/05/2021,"1,238.81","1,227.36","1,238.94","1,225.61",214.68M,1.70%
05/04/2021,"1,218.10","1,237.96","1,241.11","1,216.02",215.22M,-1.40%
05/03/2021,"1,235.44","1,231.02","1,236.70","1,225.31",153.35M,0.57%
04/30/2021,"1,228.38","1,237.76","1,238.10","1,228.38",191.44M,-0.54%
04/29/2021,"1,235.02","1,242.38","1,245.82","1,232.45",203.43M,-0.08%
04/28/2021,"1,236.06","1,234.75","1,239.22","1,232.28",171.25M,0.36%
04/27/2021,"1,231.62","1,232.81","1,234.14","1,228.84",168.31M,-0.16%
04/26/2021,"1,233.61","1,231.18","1,235.73","1,228.46",172.10M,0.15%
04/23/2021,"1,231.79","1,229.64","1,233.10","1,224.36",177.83M,-0.05%
04/22/2021,"1,232.35","1,226.53","1,233.84","1,225.21",186.88M,0.83%
04/21/2021,"1,222.17","1,216.14","1,224.21","1,214.97",216.37M,0.99%
04/20/2021,"1,210.15","1,230.99","1,232.51","1,208.12",227.25M,-1.88%
04/19/2021,"1,233.34","1,236.34","1,238.89","1,232.68",157.10M,-0.12%
04/16/2021,"1,234.77","1,226.71","1,236.46","1,226.48",233.00M,0.62%
04/15/2021,"1,227.19","1,223.13","1,228.66","1,222.04",171.63M,0.46%
04/14/2021,"1,221.60","1,220.54","1,223.11","1,219.17",161.92M,0.45%
04/13/2021,"1,216.08","1,214.29","1,217.73","1,210.42",180.48M,0.32%
04/12/2021,"1,212.21","1,215.58","1,217.46","1,212.21",172.19M,-0.41%
04/09/2021,"1,217.16","1,218.58","1,220.30","1,215.83",180.27M,-0.03%
04/08/2021,"1,217.58","1,214.54","1,217.68","1,212.42",219.53M,0.65%
04/07/2021,"1,209.71","1,211.42","1,214.34","1,208.36",174.14M,-0.25%
04/06/2021,"1,212.69","1,217.70","1,218.47","1,211.21",199.80M,0.52%
04/01/2021,"1,206.44","1,201.44","1,208.23","1,199.44",170.90M,0.95%
03/31/2021,"1,195.05","1,198.00","1,199.72","1,194.59",209.59M,-0.31%
03/30/2021,"1,198.75","1,193.56","1,200.22","1,191.26",187.41M,0.91%
03/29/2021,"1,187.95","1,186.11","1,190.68","1,184.12",174.48M,0.33%
03/26/2021,"1,184.05","1,179.80","1,185.20","1,177.24",192.87M,0.94%
03/25/2021,"1,173.03","1,167.38","1,173.03","1,160.19",186.40M,-0.02%
03/24/2021,"1,173.25","1,167.24","1,174.44","1,165.39",207.07M,0.07%
03/23/2021,"1,172.47","1,171.03","1,176.49","1,167.34",228.88M,-0.26%
03/22/2021,"1,175.47","1,170.22","1,176.70","1,169.00",194.41M,-0.09%
03/19/2021,"1,176.57","1,175.76","1,182.52","1,171.91",563.49M,-0.67%
03/18/2021,"1,184.47","1,187.66","1,187.95","1,181.26",230.23M,0.09%
03/17/2021,"1,183.44","1,182.18","1,184.64","1,179.48",207.73M,-0.07%
03/16/2021,"1,184.32","1,183.89","1,185.79","1,180.14",221.50M,0.42%
03/15/2021,"1,179.34","1,183.26","1,188.13","1,176.16",197.08M,-0.01%
03/12/2021,"1,179.42","1,179.15","1,179.63","1,174.57",185.48M,-0.33%
03/11/2021,"1,183.27","1,178.46","1,183.53","1,177.47",236.45M,0.87%
03/10/2021,"1,173.01","1,162.41","1,174.27","1,161.48",225.19M,0.85%
03/09/2021,"1,163.11","1,152.46","1,165.64","1,152.45",266.05M,0.86%
03/08/2021,"1,153.14","1,139.86","1,155.13","1,134.83",269.42M,1.75%
03/05/2021,"1,133.33","1,135.67","1,146.06","1,129.66",271.76M,-0.97%
03/04/2021,"1,144.45","1,139.89","1,147.30","1,136.88",249.80M,-0.27%
